layer,split_half_reliability,raw_norm
0,0.968654,0.086511
1,0.981279,0.236029
2,0.973665,0.295536
3,0.953737,0.45767
4,0.953732,0.718952
5,0.953484,0.950499
6,0.954411,1.232715
7,0.963702,1.699859
8,0.968776,2.154072
9,0.970799,2.755244
10,0.978575,3.660847
11,0.982576,4.122532
12,0.985326,4.805504
13,0.984157,5.140151
14,0.98384,5.68295
15,0.984173,6.393733
16,0.986447,7.787896
17,0.985929,8.651522
18,0.985762,9.465226
19,0.986768,10.46874
20,0.986809,11.602907
21,0.987136,13.06837
22,0.987025,14.621767
23,0.986674,16.008576
24,0.986386,17.105615
25,0.985726,18.467563
26,0.9866,21.423534
27,0.985846,22.952122
28,0.984019,24.468402
29,0.983041,26.684212
30,0.981381,29.621119
31,0.974064,31.181608
