value_a,value_b,layer,cosine
authority,autonomy,0,0.785885
authority,autonomy,1,0.744708
authority,autonomy,2,0.727871
authority,autonomy,3,0.619636
authority,autonomy,4,0.587454
authority,autonomy,5,0.604178
authority,autonomy,6,0.540743
authority,autonomy,7,0.463724
authority,autonomy,8,0.422007
authority,autonomy,9,0.411859
authority,autonomy,10,0.309639
authority,autonomy,11,0.273941
authority,autonomy,12,0.113314
authority,autonomy,13,0.109387
authority,autonomy,14,-0.13295
authority,autonomy,15,0.081893
authority,autonomy,16,0.199354
authority,autonomy,17,0.211415
authority,autonomy,18,0.188018
authority,autonomy,19,0.174381
authority,autonomy,20,0.191375
authority,autonomy,21,0.188428
authority,autonomy,22,0.145329
authority,autonomy,23,0.145207
authority,autonomy,24,0.094119
authority,autonomy,25,0.136747
authority,autonomy,26,0.109927
authority,autonomy,27,0.082757
authority,autonomy,28,0.077444
authority,autonomy,29,0.023313
authority,autonomy,30,0.037352
authority,autonomy,31,-0.042461
authority,care,0,0.836604
authority,care,1,0.791337
authority,care,2,0.797106
authority,care,3,0.635805
authority,care,4,0.597873
authority,care,5,0.589748
authority,care,6,0.560067
authority,care,7,0.485306
authority,care,8,0.468289
authority,care,9,0.39851
authority,care,10,0.289578
authority,care,11,0.249309
authority,care,12,0.12789
authority,care,13,0.173441
authority,care,14,0.073252
authority,care,15,0.196086
authority,care,16,0.221108
authority,care,17,0.167596
authority,care,18,0.139893
authority,care,19,0.168408
authority,care,20,0.170198
authority,care,21,0.201413
authority,care,22,0.167405
authority,care,23,0.180463
authority,care,24,0.160391
authority,care,25,0.173135
authority,care,26,0.164358
authority,care,27,0.129008
authority,care,28,0.130894
authority,care,29,0.086955
authority,care,30,0.10553
authority,care,31,0.212372
authority,collective_welfare,0,0.724189
authority,collective_welfare,1,0.665755
authority,collective_welfare,2,0.652182
authority,collective_welfare,3,0.520456
authority,collective_welfare,4,0.460967
authority,collective_welfare,5,0.427839
authority,collective_welfare,6,0.34328
authority,collective_welfare,7,0.278253
authority,collective_welfare,8,0.196784
authority,collective_welfare,9,0.187037
authority,collective_welfare,10,0.170519
authority,collective_welfare,11,0.155118
authority,collective_welfare,12,0.107348
authority,collective_welfare,13,0.151595
authority,collective_welfare,14,0.099346
authority,collective_welfare,15,0.171682
