value_a,value_b,best_shared_layer,cosine_at_best,rel_a_at_best,rel_b_at_best,ceiling_sqrt_ra_rb,cos_over_ceiling,both_reliable,battery_types,flagged
authority,autonomy,1,0.7447,0.8583,0.8501,0.8542,0.8719,True,type6,True
authority,care,1,0.7913,0.8583,0.8931,0.8755,0.9038,True,,False
authority,collective_welfare,1,0.6658,0.8583,0.8544,0.8563,0.7774,True,,False
authority,desert,1,0.7199,0.8583,0.8533,0.8558,0.8412,True,,False
authority,fairness,1,0.7812,0.8583,0.899,0.8784,0.8893,True,,False
authority,harm_avoidance,1,0.767,0.8583,0.8969,0.8774,0.8742,True,,False
authority,honesty,0,0.8182,0.849,0.8735,0.8612,0.9501,True,,False
authority,impartiality,0,0.74,0.849,0.7971,0.8226,0.8995,True,,False
authority,integrity,0,0.7367,0.849,0.8655,0.8572,0.8594,True,,False
authority,kindness,1,0.7463,0.8583,0.8776,0.8679,0.86,True,,False
authority,loyalty,1,0.8133,0.8583,0.8805,0.8693,0.9355,True,,False
authority,mercy,1,0.7844,0.8583,0.8839,0.871,0.9006,True,,False
authority,privacy,0,0.8063,0.849,0.8482,0.8486,0.9501,True,,False
authority,sanctity,2,0.6657,0.851,0.8139,0.8322,0.7999,True,,False
authority,tradition,1,0.7163,0.8583,0.8955,0.8767,0.8171,True,,False
autonomy,care,0,0.935,0.8727,0.9125,0.8924,1.0478,True,,False
autonomy,collective_welfare,0,0.8845,0.8727,0.8984,0.8855,0.9989,True,type12,True
autonomy,desert,0,0.8971,0.8727,0.889,0.8808,1.0185,True,,False
autonomy,fairness,0,0.9017,0.8727,0.9191,0.8956,1.0068,True,,False
autonomy,harm_avoidance,0,0.9102,0.8727,0.9118,0.892,1.0203,True,type7,True
autonomy,honesty,0,0.9206,0.8727,0.8735,0.8731,1.0543,True,,False
autonomy,impartiality,0,0.882,0.8727,0.7971,0.834,1.0575,True,,False
autonomy,integrity,0,0.835,0.8727,0.8655,0.8691,0.9608,True,,False
autonomy,kindness,0,0.9145,0.8727,0.8916,0.8821,1.0367,True,,False
autonomy,loyalty,0,0.9089,0.8727,0.9055,0.8889,1.0225,True,,False
autonomy,mercy,0,0.9274,0.8727,0.9259,0.8989,1.0317,True,,False
autonomy,privacy,0,0.901,0.8727,0.8482,0.8604,1.0472,True,,False
autonomy,sanctity,2,0.8691,0.8389,0.8139,0.8263,1.0517,True,,False
autonomy,tradition,0,0.8996,0.8727,0.9081,0.8902,1.0105,True,type5,True
care,collective_welfare,0,0.9219,0.9125,0.8984,0.9054,1.0182,True,,False
care,desert,0,0.9251,0.9125,0.889,0.9006,1.0271,True,,False
care,fairness,0,0.9559,0.9125,0.9191,0.9158,1.0438,True,,False
care,harm_avoidance,0,0.9509,0.9125,0.9118,0.9121,1.0425,True,,False
care,honesty,0,0.9342,0.9125,0.8735,0.8928,1.0464,True,type1,True
care,impartiality,0,0.9023,0.9125,0.7971,0.8528,1.058,True,,False
care,integrity,0,0.8897,0.9125,0.8655,0.8887,1.0012,True,,False
care,kindness,0,0.9599,0.9125,0.8916,0.902,1.0642,True,,False
care,loyalty,0,0.9442,0.9125,0.9055,0.909,1.0387,True,,False
care,mercy,0,0.9282,0.9125,0.9259,0.9192,1.0098,True,,False
care,privacy,0,0.9415,0.9125,0.8482,0.8798,1.0701,True,type2;type10,True
care,sanctity,2,0.832,0.8528,0.8139,0.8331,0.9987,True,,False
care,tradition,0,0.941,0.9125,0.9081,0.9103,1.0337,True,,False
collective_welfare,desert,0,0.9405,0.8984,0.889,0.8937,1.0524,True,,False
collective_welfare,fairness,0,0.9407,0.8984,0.9191,0.9087,1.0352,True,,False
collective_welfare,harm_avoidance,0,0.9223,0.8984,0.9118,0.9051,1.019,True,,False
collective_welfare,honesty,0,0.9296,0.8984,0.8735,0.8859,1.0493,True,,False
collective_welfare,impartiality,0,0.9296,0.8984,0.7971,0.8462,1.0986,True,,False
collective_welfare,integrity,0,0.8953,0.8984,0.8655,0.8818,1.0153,True,,False
collective_welfare,kindness,0,0.9236,0.8984,0.8916,0.895,1.0319,True,,False
collective_welfare,loyalty,0,0.9191,0.8984,0.9055,0.902,1.0191,True,,False
collective_welfare,mercy,0,0.8643,0.8984,0.9259,0.9121,0.9476,True,,False
collective_welfare,privacy,0,0.9347,0.8984,0.8482,0.873,1.0707,True,,False
collective_welfare,sanctity,0,0.8454,0.8984,0.8061,0.851,0.9933,True,,False
collective_welfare,tradition,0,0.9404,0.8984,0.9081,0.9033,1.0411,True,,False
desert,fairness,0,0.9341,0.889,0.9191,0.9039,1.0334,True,,False
desert,harm_avoidance,0,0.9106,0.889,0.9118,0.9003,1.0115,True,,False
desert,honesty,0,0.9271,0.889,0.8735,0.8812,1.052,True,,False
desert,impartiality,0,0.9131,0.889,0.7971,0.8418,1.0847,True,,False
desert,integrity,0,0.9107,0.889,0.8655,0.8771,1.0383,True,,False
desert,kindness,0,0.9153,0.889,0.8916,0.8903,1.0281,True,,False
desert,loyalty,0,0.9107,0.889,0.9055,0.8972,1.0151,True,,False
desert,mercy,0,0.8907,0.889,0.9259,0.9072,0.9818,True,type3,True
desert,privacy,0,0.9193,0.889,0.8482,0.8684,1.0587,True,,False
desert,sanctity,0,0.8559,0.889,0.8061,0.8465,1.0111,True,,False
desert,tradition,0,0.9322,0.889,0.9081,0.8985,1.0375,True,,False
fairness,harm_avoidance,0,0.9552,0.9191,0.9118,0.9154,1.0435,True,,False
fairness,honesty,0,0.9345,0.9191,0.8735,0.896,1.0429,True,,False
fairness,impartiality,0,0.9061,0.9191,0.7971,0.8559,1.0586,True,,False
fairness,integrity,0,0.8822,0.9191,0.8655,0.8919,0.9891,True,,False
fairness,kindness,0,0.9489,0.9191,0.8916,0.9052,1.0483,True,,False
fairness,loyalty,0,0.9488,0.9191,0.9055,0.9122,1.0401,True,,False
fairness,mercy,0,0.9057,0.9191,0.9259,0.9225,0.9819,True,,False
fairness,privacy,0,0.9501,0.9191,0.8482,0.8829,1.0761,True,,False
fairness,sanctity,2,0.8787,0.8565,0.8139,0.835,1.0524,True,,False
fairness,tradition,0,0.9623,0.9191,0.9081,0.9136,1.0533,True,,False
harm_avoidance,honesty,0,0.9379,0.9118,0.8735,0.8924,1.051,True,,False
harm_avoidance,impartiality,0,0.8961,0.9118,0.7971,0.8525,1.0512,True,,False
harm_avoidance,integrity,0,0.9091,0.9118,0.8655,0.8883,1.0234,True,type9,True
harm_avoidance,kindness,0,0.9412,0.9118,0.8916,0.9016,1.0439,True,,False
harm_avoidance,loyalty,0,0.9461,0.9118,0.9055,0.9086,1.0412,True,,False
harm_avoidance,mercy,0,0.9056,0.9118,0.9259,0.9188,0.9857,True,,False
harm_avoidance,privacy,0,0.9567,0.9118,0.8482,0.8794,1.0879,True,type8,True
harm_avoidance,sanctity,2,0.8505,0.8714,0.8139,0.8422,1.0099,True,,False
harm_avoidance,tradition,0,0.9615,0.9118,0.9081,0.9099,1.0567,True,,False
honesty,impartiality,0,0.9128,0.8735,0.7971,0.8344,1.0939,True,,False
honesty,integrity,0,0.8999,0.8735,0.8655,0.8695,1.035,True,,False
honesty,kindness,0,0.9241,0.8735,0.8916,0.8825,1.0471,True,,False
honesty,loyalty,0,0.9327,0.8735,0.9055,0.8894,1.0487,True,type4,True
honesty,mercy,0,0.9082,0.8735,0.9259,0.8993,1.0098,True,,False
honesty,privacy,0,0.927,0.8735,0.8482,0.8608,1.0769,True,,False
honesty,sanctity,0,0.8892,0.8735,0.8061,0.8391,1.0597,True,,False
honesty,tradition,0,0.9322,0.8735,0.9081,0.8906,1.0466,True,,False
impartiality,integrity,0,0.8736,0.7971,0.8655,0.8306,1.0518,True,,False
impartiality,kindness,0,0.9083,0.7971,0.8916,0.843,1.0774,True,,False
impartiality,loyalty,0,0.8866,0.7971,0.9055,0.8496,1.0436,True,,False
impartiality,mercy,0,0.8445,0.7971,0.9259,0.8591,0.983,True,,False
impartiality,privacy,0,0.9173,0.7971,0.8482,0.8223,1.1156,True,,False
impartiality,sanctity,0,0.853,0.7971,0.8061,0.8016,1.0641,True,,False
impartiality,tradition,0,0.9216,0.7971,0.9081,0.8508,1.0832,True,,False
integrity,kindness,0,0.8842,0.8655,0.8916,0.8785,1.0065,True,,False
integrity,loyalty,0,0.8771,0.8655,0.9055,0.8853,0.9907,True,,False
integrity,mercy,0,0.8429,0.8655,0.9259,0.8952,0.9417,True,type11,True
integrity,privacy,0,0.9091,0.8655,0.8482,0.8568,1.061,True,,False
integrity,sanctity,2,0.7333,0.8297,0.8139,0.8218,0.8923,True,,False
integrity,tradition,0,0.9029,0.8655,0.9081,0.8865,1.0185,True,,False
kindness,loyalty,0,0.9388,0.8916,0.9055,0.8985,1.0448,True,,False
kindness,mercy,0,0.9187,0.8916,0.9259,0.9086,1.0111,True,,False
kindness,privacy,0,0.9462,0.8916,0.8482,0.8697,1.088,True,,False
kindness,sanctity,2,0.8093,0.8234,0.8139,0.8186,0.9886,True,,False
kindness,tradition,0,0.9495,0.8916,0.9081,0.8998,1.0551,True,,False
loyalty,mercy,0,0.932,0.9055,0.9259,0.9156,1.0178,True,,False
loyalty,privacy,0,0.9398,0.9055,0.8482,0.8764,1.0723,True,,False
loyalty,sanctity,2,0.8265,0.8269,0.8139,0.8204,1.0075,True,,False
loyalty,tradition,0,0.942,0.9055,0.9081,0.9068,1.0388,True,,False
mercy,privacy,0,0.8973,0.9259,0.8482,0.8862,1.0125,True,,False
mercy,sanctity,2,0.728,0.8671,0.8139,0.8401,0.8666,True,,False
mercy,tradition,0,0.8913,0.9259,0.9081,0.9169,0.972,True,,False
privacy,sanctity,0,0.8926,0.8482,0.8061,0.8269,1.0794,True,,False
privacy,tradition,0,0.9563,0.8482,0.9081,0.8777,1.0896,True,,False
sanctity,tradition,2,0.8716,0.8139,0.8746,0.8437,1.033,True,,False
