value,layer,raw_norm
authority,0,0.045541
authority,1,0.084466
authority,2,0.137698
authority,3,0.221129
authority,4,0.339956
authority,5,0.40052
authority,6,0.435523
authority,7,0.519857
authority,8,0.572723
authority,9,0.643113
authority,10,0.710282
authority,11,0.789658
authority,12,0.971202
authority,13,1.425867
authority,14,1.905544
authority,15,2.20027
authority,16,2.678638
authority,17,3.688553
authority,18,4.255799
authority,19,4.589405
authority,20,4.936089
authority,21,5.296216
authority,22,5.806506
authority,23,6.438507
authority,24,7.236953
authority,25,7.80979
authority,26,8.760838
authority,27,9.616057
authority,28,10.875647
authority,29,12.458249
authority,30,14.304645
authority,31,18.571648
autonomy,0,0.032598
autonomy,1,0.05336
autonomy,2,0.085808
autonomy,3,0.142454
autonomy,4,0.187971
autonomy,5,0.213415
autonomy,6,0.224115
autonomy,7,0.24462
autonomy,8,0.259567
autonomy,9,0.268961
autonomy,10,0.281334
autonomy,11,0.288583
autonomy,12,0.365458
autonomy,13,0.494717
autonomy,14,0.785158
autonomy,15,0.787455
autonomy,16,0.898057
autonomy,17,1.057446
autonomy,18,1.154327
autonomy,19,1.192006
autonomy,20,1.285487
autonomy,21,1.382476
autonomy,22,1.494358
autonomy,23,1.585449
autonomy,24,1.686741
autonomy,25,1.824244
autonomy,26,2.064818
autonomy,27,2.259783
autonomy,28,2.526134
autonomy,29,2.897758
autonomy,30,3.343327
autonomy,31,4.635127
care,0,0.042597
care,1,0.069331
care,2,0.10836
care,3,0.182138
care,4,0.23243
care,5,0.253616
care,6,0.274084
care,7,0.312437
care,8,0.347104
care,9,0.375308
care,10,0.406975
care,11,0.444968
care,12,0.633776
care,13,1.052214
care,14,1.504568
care,15,1.840995
care,16,2.147171
care,17,2.528678
care,18,2.639788
care,19,2.78751
care,20,2.937814
care,21,3.129263
care,22,3.279826
care,23,3.538931
care,24,3.677043
care,25,3.955791
care,26,4.399332
care,27,4.726875
care,28,5.229105
care,29,5.783786
care,30,6.531544
care,31,8.374285
collective_welfare,0,0.038778
collective_welfare,1,0.059079
collective_welfare,2,0.094667
collective_welfare,3,0.158172
collective_welfare,4,0.225758
collective_welfare,5,0.257769
collective_welfare,6,0.278755
collective_welfare,7,0.319827
collective_welfare,8,0.376923
collective_welfare,9,0.394434
collective_welfare,10,0.408218
collective_welfare,11,0.420322
collective_welfare,12,0.447996
collective_welfare,13,0.629212
collective_welfare,14,0.943567
collective_welfare,15,0.960236
collective_welfare,16,1.105814
collective_welfare,17,1.297098
collective_welfare,18,1.407475
collective_welfare,19,1.578508
collective_welfare,20,1.706639
collective_welfare,21,1.831328
collective_welfare,22,1.95979
collective_welfare,23,2.131236
collective_welfare,24,2.327628
collective_welfare,25,2.542792
collective_welfare,26,2.952749
collective_welfare,27,3.258408
collective_welfare,28,3.712037
collective_welfare,29,4.202176
collective_welfare,30,4.884622
collective_welfare,31,6.388344
desert,0,0.036928
desert,1,0.058952
desert,2,0.093155
desert,3,0.152286
desert,4,0.217836
desert,5,0.246248
desert,6,0.265835
desert,7,0.308942
desert,8,0.343451
desert,9,0.353617
desert,10,0.373223
desert,11,0.387079
desert,12,0.453787
desert,13,0.645712
desert,14,0.871832
desert,15,0.888914
desert,16,0.967801
desert,17,1.116698
desert,18,1.209574
desert,19,1.256108
desert,20,1.348407
desert,21,1.442264
desert,22,1.552305
desert,23,1.668551
desert,24,1.761042
desert,25,1.902203
desert,26,2.091986
desert,27,2.26766
desert,28,2.531421
desert,29,2.791787
desert,30,3.227351
desert,31,4.23126
fairness,0,0.043808
fairness,1,0.072025
fairness,2,0.112202
fairness,3,0.182242
fairness,4,0.255884
fairness,5,0.279807
fairness,6,0.302445
fairness,7,0.341125
fairness,8,0.370228
fairness,9,0.379203
fairness,10,0.38581
fairness,11,0.401119
fairness,12,0.46395
fairness,13,0.691239
fairness,14,0.865808
fairness,15,0.959888
fairness,16,1.070781
fairness,17,1.208959
fairness,18,1.293802
fairness,19,1.339703
fairness,20,1.437657
fairness,21,1.52566
fairness,22,1.612866
fairness,23,1.753569
fairness,24,1.861871
fairness,25,2.006714
fairness,26,2.234726
fairness,27,2.439172
fairness,28,2.709585
fairness,29,2.9976
