value,layer,split_half_cosine
authority,0,0.849037
authority,1,0.858254
authority,2,0.850953
authority,3,0.780462
authority,4,0.746234
authority,5,0.726851
authority,6,0.70341
authority,7,0.685417
authority,8,0.66784
authority,9,0.660306
authority,10,0.588225
authority,11,0.61049
authority,12,0.582224
authority,13,0.556299
authority,14,0.571084
authority,15,0.531841
authority,16,0.546475
authority,17,0.595368
authority,18,0.603805
authority,19,0.615274
authority,20,0.60824
authority,21,0.615455
authority,22,0.62534
authority,23,0.632927
authority,24,0.66339
authority,25,0.658322
authority,26,0.652234
authority,27,0.645452
authority,28,0.641494
authority,29,0.648387
authority,30,0.632427
authority,31,0.6349
autonomy,0,0.872716
autonomy,1,0.85007
autonomy,2,0.838916
autonomy,3,0.788707
autonomy,4,0.64125
autonomy,5,0.647288
autonomy,6,0.62765
autonomy,7,0.550866
autonomy,8,0.490206
autonomy,9,0.465205
autonomy,10,0.43762
autonomy,11,0.444336
autonomy,12,0.414106
autonomy,13,0.350017
autonomy,14,0.307721
autonomy,15,0.341126
autonomy,16,0.366692
autonomy,17,0.323123
autonomy,18,0.347796
autonomy,19,0.3268
autonomy,20,0.328857
autonomy,21,0.335003
autonomy,22,0.339407
autonomy,23,0.327162
autonomy,24,0.309624
autonomy,25,0.304006
autonomy,26,0.30411
autonomy,27,0.292133
autonomy,28,0.275152
autonomy,29,0.268748
autonomy,30,0.28691
autonomy,31,0.362112
care,0,0.912496
care,1,0.893144
care,2,0.852802
care,3,0.837856
care,4,0.736308
care,5,0.723799
care,6,0.706131
care,7,0.68084
care,8,0.672096
care,9,0.662256
care,10,0.656291
care,11,0.670299
care,12,0.712196
care,13,0.676549
care,14,0.388645
care,15,0.494041
care,16,0.524429
care,17,0.310344
care,18,0.291745
care,19,0.31638
care,20,0.307047
care,21,0.292832
care,22,0.270194
care,23,0.287617
care,24,0.198966
care,25,0.202322
care,26,0.193081
care,27,0.142913
care,28,0.115944
care,29,0.03796
care,30,0.072969
care,31,0.102866
collective_welfare,0,0.898438
collective_welfare,1,0.854426
collective_welfare,2,0.79855
collective_welfare,3,0.726871
collective_welfare,4,0.611888
collective_welfare,5,0.622473
collective_welfare,6,0.586037
collective_welfare,7,0.51962
collective_welfare,8,0.522589
collective_welfare,9,0.479516
collective_welfare,10,0.440451
collective_welfare,11,0.404165
collective_welfare,12,0.318285
collective_welfare,13,0.261404
collective_welfare,14,-0.017725
collective_welfare,15,0.092015
collective_welfare,16,0.230998
collective_welfare,17,0.078256
collective_welfare,18,0.112027
collective_welfare,19,0.182324
collective_welfare,20,0.205971
collective_welfare,21,0.204513
collective_welfare,22,0.196786
collective_welfare,23,0.220786
collective_welfare,24,0.201136
collective_welfare,25,0.218025
collective_welfare,26,0.238865
collective_welfare,27,0.217188
collective_welfare,28,0.204432
collective_welfare,29,0.148913
collective_welfare,30,0.207746
collective_welfare,31,0.277762
desert,0,0.888956
desert,1,0.853325
desert,2,0.80075
desert,3,0.732672
desert,4,0.654334
desert,5,0.652182
desert,6,0.658915
desert,7,0.656395
desert,8,0.612459
desert,9,0.570839
desert,10,0.558751
desert,11,0.559231
desert,12,0.484
desert,13,0.393494
desert,14,0.316731
desert,15,0.351938
desert,16,0.371607
desert,17,0.375141
desert,18,0.386839
desert,19,0.381645
desert,20,0.371052
desert,21,0.36336
desert,22,0.351179
desert,23,0.362399
desert,24,0.334156
desert,25,0.329717
desert,26,0.314902
desert,27,0.289319
desert,28,0.265935
desert,29,0.215205
desert,30,0.232156
desert,31,0.256144
fairness,0,0.919061
fairness,1,0.899029
fairness,2,0.856517
fairness,3,0.795765
fairness,4,0.674371
fairness,5,0.659795
fairness,6,0.668326
fairness,7,0.643336
fairness,8,0.597559
fairness,9,0.601795
fairness,10,0.585914
fairness,11,0.59495
fairness,12,0.540743
fairness,13,0.508364
fairness,14,0.409173
fairness,15,0.515812
fairness,16,0.544207
fairness,17,0.503487
fairness,18,0.51376
fairness,19,0.509504
fairness,20,0.518907
fairness,21,0.518298
fairness,22,0.508313
fairness,23,0.505803
fairness,24,0.482821
fairness,25,0.484094
fairness,26,0.47622
fairness,27,0.451437
fairness,28,0.436978
fairness,29,0.404884
fairness,30,0.411314
fairness,31,0.412264
harm_avoidance,0,0.911767
harm_avoidance,1,0.896906
harm_avoidance,2,0.87143
harm_avoidance,3,0.815977
harm_avoidance,4,0.755622
harm_avoidance,5,0.775113
harm_avoidance,6,0.759346
harm_avoidance,7,0.740802
