type_id,value,mean_cosine,z_within_value,is_own_pole,flagged
type10_privacy_vs_care,care,0.312739,2.449,True,False
type11_integrity_vs_mercy,mercy,0.240414,2.322,True,False
type10_privacy_vs_care,privacy,0.208248,2.087,True,False
type10_privacy_vs_care,honesty,0.161166,1.998,False,False
type12_autonomy_vs_collective,collective_welfare,0.161434,1.966,True,False
type11_integrity_vs_mercy,integrity,0.229214,1.895,True,False
type10_privacy_vs_care,kindness,0.258926,1.856,False,False
type11_integrity_vs_mercy,authority,0.193910,1.826,False,False
type10_privacy_vs_care,fairness,0.196736,1.811,False,False
type10_privacy_vs_care,harm_avoidance,0.140358,1.725,False,False
type11_integrity_vs_mercy,sanctity,0.078134,1.647,False,False
type12_autonomy_vs_collective,desert,0.196229,1.629,False,False
type11_integrity_vs_mercy,autonomy,0.142985,1.599,False,False
type11_integrity_vs_mercy,harm_avoidance,0.133149,1.594,False,False
type12_autonomy_vs_collective,loyalty,0.166243,1.529,False,False
type12_autonomy_vs_collective,impartiality,0.169922,1.427,False,False
type10_privacy_vs_care,sanctity,0.066238,1.419,False,False
type10_privacy_vs_care,autonomy,0.131005,1.375,False,False
type1_honesty_vs_care,kindness,0.220822,1.316,False,False
type6_authority_vs_autonomy,desert,0.178221,1.303,False,False
type6_authority_vs_autonomy,collective_welfare,0.131999,1.244,False,False
type10_privacy_vs_care,impartiality,0.158594,1.239,False,False
type10_privacy_vs_care,loyalty,0.142687,1.163,False,False
type10_privacy_vs_care,integrity,0.164676,1.111,False,False
type5_tradition_vs_autonomy,impartiality,0.149793,1.093,False,False
type5_tradition_vs_autonomy,loyalty,0.132921,1.011,False,False
type12_autonomy_vs_collective,tradition,0.121563,0.987,False,False
type11_integrity_vs_mercy,tradition,0.121384,0.984,False,False
type12_autonomy_vs_collective,fairness,0.141106,0.976,False,False
type10_privacy_vs_care,desert,0.160122,0.975,False,False
type6_authority_vs_autonomy,tradition,0.120721,0.973,False,False
type10_privacy_vs_care,mercy,0.131301,0.936,False,False
type12_autonomy_vs_collective,authority,0.135438,0.926,False,False
type3_mercy_vs_desert,integrity,0.148477,0.914,False,False
type11_integrity_vs_mercy,fairness,0.136575,0.908,False,False
type10_privacy_vs_care,authority,0.131072,0.859,False,False
type12_autonomy_vs_collective,autonomy,0.103195,0.855,True,False
type6_authority_vs_autonomy,impartiality,0.134339,0.836,False,False
type6_authority_vs_autonomy,loyalty,0.120543,0.819,False,False
type11_integrity_vs_mercy,privacy,0.123821,0.814,False,False
type6_authority_vs_autonomy,honesty,0.103565,0.805,False,False
type5_tradition_vs_autonomy,tradition,0.110435,0.798,True,False
type10_privacy_vs_care,collective_welfare,0.113575,0.793,False,False
type10_privacy_vs_care,tradition,0.109556,0.783,False,False
type5_tradition_vs_autonomy,collective_welfare,0.112919,0.777,False,False
type11_integrity_vs_mercy,kindness,0.182398,0.770,False,False
type4_loyalty_vs_honesty,privacy,0.118529,0.734,False,False
type11_integrity_vs_mercy,honesty,0.099957,0.730,False,False
type12_autonomy_vs_collective,care,0.173421,0.716,False,False
type12_autonomy_vs_collective,mercy,0.112249,0.694,False,False
type3_mercy_vs_desert,mercy,0.109918,0.665,True,False
type3_mercy_vs_desert,authority,0.116738,0.639,False,False
type3_mercy_vs_desert,sanctity,0.025113,0.631,False,False
type11_integrity_vs_mercy,care,0.166514,0.630,False,False
type5_tradition_vs_autonomy,desert,0.140619,0.621,False,False
type12_autonomy_vs_collective,integrity,0.123764,0.614,False,False
type6_authority_vs_autonomy,fairness,0.113438,0.560,False,False
type3_mercy_vs_desert,autonomy,0.085688,0.528,False,False
type12_autonomy_vs_collective,honesty,0.089645,0.517,False,False
type12_autonomy_vs_collective,sanctity,0.017589,0.487,False,False
type3_mercy_vs_desert,loyalty,0.098903,0.483,False,False
type11_integrity_vs_mercy,impartiality,0.111803,0.462,False,False
type6_authority_vs_autonomy,kindness,0.158494,0.431,False,False
type5_tradition_vs_autonomy,fairness,0.104560,0.427,False,False
type8_harm_vs_privacy,sanctity,0.014435,0.427,False,False
type3_mercy_vs_desert,harm_avoidance,0.068277,0.422,False,False
type12_autonomy_vs_collective,harm_avoidance,0.068250,0.422,False,False
type11_integrity_vs_mercy,desert,0.125573,0.348,False,False
type5_tradition_vs_autonomy,authority,0.097709,0.346,False,False
type6_authority_vs_autonomy,sanctity,0.007732,0.298,False,False
type5_tradition_vs_autonomy,integrity,0.096771,0.286,False,False
type8_harm_vs_privacy,tradition,0.080300,0.286,False,False
type8_harm_vs_privacy,fairness,0.094361,0.274,False,False
type12_autonomy_vs_collective,privacy,0.085665,0.238,False,False
type3_mercy_vs_desert,tradition,0.075955,0.212,False,False
type5_tradition_vs_autonomy,autonomy,0.068569,0.208,True,False
type4_loyalty_vs_honesty,honesty,0.073716,0.187,True,False
type5_tradition_vs_autonomy,harm_avoidance,0.054625,0.175,False,False
type8_harm_vs_privacy,privacy,0.081385,0.174,True,False
type12_autonomy_vs_collective,kindness,0.140261,0.172,False,False
type5_tradition_vs_autonomy,honesty,0.072558,0.163,False,False
type6_authority_vs_autonomy,care,0.126538,0.133,False,False
type8_harm_vs_privacy,harm_avoidance,0.051378,0.117,True,False
type9_harm_vs_integrity,collective_welfare,0.085883,0.114,False,False
type9_harm_vs_integrity,kindness,0.134959,0.097,False,False
type3_mercy_vs_desert,care,0.123078,0.090,False,False
type8_harm_vs_privacy,care,0.122158,0.079,False,False
type3_mercy_vs_desert,privacy,0.074793,0.074,False,False
type9_harm_vs_integrity,tradition,0.067667,0.071,False,False
type11_integrity_vs_mercy,loyalty,0.072313,0.069,False,False
type1_honesty_vs_care,honesty,0.067936,0.067,True,False
type6_authority_vs_autonomy,authority,0.077870,0.040,True,False
type8_harm_vs_privacy,autonomy,0.058792,0.025,False,False
type5_tradition_vs_autonomy,privacy,0.071395,0.023,False,False
type5_tradition_vs_autonomy,kindness,0.129206,0.016,False,False
type6_authority_vs_autonomy,privacy,0.070078,0.003,False,False
type8_harm_vs_privacy,authority,0.073512,-0.027,False,False
type9_harm_vs_integrity,autonomy,0.055914,-0.029,False,False
type6_authority_vs_autonomy,autonomy,0.055856,-0.030,True,False
type9_harm_vs_integrity,desert,0.103089,-0.060,False,False
type9_harm_vs_integrity,impartiality,0.079818,-0.069,False,False
type9_harm_vs_integrity,mercy,0.051596,-0.076,False,False
type3_mercy_vs_desert,fairness,0.070997,-0.077,False,False
type6_authority_vs_autonomy,integrity,0.066218,-0.085,False,False
type8_harm_vs_privacy,integrity,0.065869,-0.089,False,False
type1_honesty_vs_care,desert,0.101492,-0.089,False,False
type6_authority_vs_autonomy,harm_avoidance,0.039488,-0.098,False,False
type5_tradition_vs_autonomy,care,0.106140,-0.120,False,False
type3_mercy_vs_desert,collective_welfare,0.075417,-0.143,False,False
type6_authority_vs_autonomy,mercy,0.044602,-0.164,False,False
type3_mercy_vs_desert,impartiality,0.072719,-0.187,False,False
type2_privacy_vs_care,care,0.097971,-0.222,True,False
type5_tradition_vs_autonomy,mercy,0.039423,-0.230,False,False
type9_harm_vs_integrity,sanctity,-0.019945,-0.232,False,False
type9_harm_vs_integrity,honesty,0.051645,-0.270,False,False
type4_loyalty_vs_honesty,authority,0.057257,-0.277,False,False
type2_privacy_vs_care,privacy,0.050189,-0.297,True,False
type5_tradition_vs_autonomy,sanctity,-0.023865,-0.307,False,False
type4_loyalty_vs_honesty,harm_avoidance,0.027650,-0.312,False,False
type9_harm_vs_integrity,authority,0.052002,-0.358,False,False
type7_harm_vs_autonomy,collective_welfare,0.063086,-0.445,False,False
type4_loyalty_vs_honesty,integrity,0.036191,-0.449,False,False
type8_harm_vs_privacy,mercy,0.021194,-0.462,False,False
type1_honesty_vs_care,harm_avoidance,0.018719,-0.474,False,False
type8_harm_vs_privacy,honesty,0.041553,-0.479,False,False
type3_mercy_vs_desert,desert,0.079634,-0.485,True,False
type8_harm_vs_privacy,loyalty,0.036544,-0.486,False,False
type1_honesty_vs_care,impartiality,0.054425,-0.491,False,False
type1_honesty_vs_care,fairness,0.042755,-0.501,False,False
type8_harm_vs_privacy,kindness,0.089234,-0.552,False,False
type9_harm_vs_integrity,loyalty,0.031983,-0.557,False,False
type11_integrity_vs_mercy,collective_welfare,0.056776,-0.600,False,False
type9_harm_vs_integrity,care,0.067208,-0.605,False,False
type1_honesty_vs_care,autonomy,0.024703,-0.612,False,False
type2_privacy_vs_care,loyalty,0.026316,-0.645,False,False
type4_loyalty_vs_honesty,desert,0.069747,-0.665,False,False
type4_loyalty_vs_honesty,kindness,0.081054,-0.668,False,False
type8_harm_vs_privacy,impartiality,0.043752,-0.668,False,False
type8_harm_vs_privacy,collective_welfare,0.053263,-0.686,False,False
type4_loyalty_vs_honesty,collective_welfare,0.053230,-0.686,False,False
type3_mercy_vs_desert,honesty,0.031165,-0.694,False,False
type9_harm_vs_integrity,integrity,0.013063,-0.730,True,False
type4_loyalty_vs_honesty,loyalty,0.020836,-0.730,True,False
type4_loyalty_vs_honesty,care,0.056430,-0.739,False,False
type9_harm_vs_integrity,fairness,0.026555,-0.744,False,False
type2_privacy_vs_care,kindness,0.070644,-0.815,False,False
type7_harm_vs_autonomy,mercy,-0.007176,-0.822,False,False
type1_honesty_vs_care,mercy,-0.007426,-0.825,False,False
type4_loyalty_vs_honesty,mercy,-0.007440,-0.825,False,False
type1_honesty_vs_care,sanctity,-0.050957,-0.826,False,False
type2_privacy_vs_care,harm_avoidance,-0.001362,-0.836,False,False
type9_harm_vs_integrity,privacy,0.013865,-0.845,False,False
type4_loyalty_vs_honesty,impartiality,0.031385,-0.874,False,False
type8_harm_vs_privacy,desert,0.058012,-0.878,False,False
type4_loyalty_vs_honesty,sanctity,-0.053810,-0.880,False,False
type2_privacy_vs_care,fairness,0.017278,-0.884,False,False
type1_honesty_vs_care,care,0.042935,-0.906,True,False
type1_honesty_vs_care,loyalty,0.009509,-0.906,False,False
type4_loyalty_vs_honesty,tradition,0.008597,-0.932,False,False
type2_privacy_vs_care,integrity,-0.004581,-0.944,False,False
type2_privacy_vs_care,collective_welfare,0.042643,-0.946,False,False
type9_harm_vs_integrity,harm_avoidance,-0.008717,-0.969,True,False
type7_harm_vs_autonomy,sanctity,-0.060413,-1.007,False,False
type3_mercy_vs_desert,kindness,0.054733,-1.041,False,False
type7_harm_vs_autonomy,integrity,-0.017204,-1.097,False,False
type7_harm_vs_autonomy,desert,0.043734,-1.136,False,False
type7_harm_vs_autonomy,tradition,-0.006147,-1.183,False,False
type7_harm_vs_autonomy,authority,-0.002672,-1.199,False,False
type2_privacy_vs_care,mercy,-0.038035,-1.214,False,False
type2_privacy_vs_care,autonomy,-0.008796,-1.239,False,False
type7_harm_vs_autonomy,honesty,0.004841,-1.240,False,False
type1_honesty_vs_care,authority,-0.005418,-1.242,False,False
type7_harm_vs_autonomy,autonomy,-0.011866,-1.296,True,False
type4_loyalty_vs_honesty,fairness,-0.013150,-1.340,False,False
type1_honesty_vs_care,privacy,-0.020673,-1.365,False,False
type2_privacy_vs_care,impartiality,0.000861,-1.380,False,False
type4_loyalty_vs_honesty,autonomy,-0.016459,-1.382,False,False
type7_harm_vs_autonomy,impartiality,0.000437,-1.388,False,False
type1_honesty_vs_care,collective_welfare,0.024580,-1.389,False,False
type1_honesty_vs_care,tradition,-0.018324,-1.390,False,False
type7_harm_vs_autonomy,fairness,-0.017725,-1.409,False,False
type1_honesty_vs_care,integrity,-0.044312,-1.427,False,False
type7_harm_vs_autonomy,care,-0.005249,-1.505,False,False
type2_privacy_vs_care,authority,-0.024433,-1.534,False,False
type2_privacy_vs_care,desert,0.020251,-1.562,False,False
type7_harm_vs_autonomy,kindness,0.016582,-1.583,False,False
type2_privacy_vs_care,tradition,-0.030080,-1.590,False,False
type7_harm_vs_autonomy,privacy,-0.038848,-1.639,False,False
type2_privacy_vs_care,sanctity,-0.094439,-1.658,False,False
type7_harm_vs_autonomy,loyalty,-0.044702,-1.749,False,False
type7_harm_vs_autonomy,harm_avoidance,-0.052707,-1.764,True,False
type2_privacy_vs_care,honesty,-0.021350,-1.782,False,False
