type_id,value,mean_similarity,ranks_above_own_pole,worst_own_pole,in_top_decile,top_cells
type10_privacy_vs_care,kindness,0.258926,True,0.208248,True,type10_privacy_vs_care:CB-pvc-S4:agree_comply=0.350; type10_privacy_vs_care:CB-pvc-S4:oppose_tip_refuse=0.341; type10_privacy_vs_care:CB-pvc-S4:oppose_tip_comply=0.340
type10_privacy_vs_care,fairness,0.196736,False,0.208248,True,type10_privacy_vs_care:CB-pvc-S2:agree_comply=0.239; type10_privacy_vs_care:CB-pvc-S6:oppose_tip_comply=0.238; type10_privacy_vs_care:CB-pvc-S4:agree_comply=0.237
type11_integrity_vs_mercy,kindness,0.182398,False,0.229214,True,type11_integrity_vs_mercy:CB-imv-S6:oppose_tip_comply=0.271; type11_integrity_vs_mercy:CB-imv-S6:oppose_tip_refuse=0.245; type11_integrity_vs_mercy:CB-imv-S6:agree_refuse=0.226
type11_integrity_vs_mercy,authority,0.193910,False,0.229214,True,type11_integrity_vs_mercy:CB-imv-S1:agree_refuse=0.278; type11_integrity_vs_mercy:CB-imv-S5:oppose_tip_comply=0.278; type11_integrity_vs_mercy:CB-imv-S6:oppose_tip_comply=0.271
type12_autonomy_vs_collective,kindness,0.140261,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S5:oppose_tip_comply=0.253; type12_autonomy_vs_collective:CB-acw-S6:agree_comply=0.217; type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_comply=0.201
type12_autonomy_vs_collective,integrity,0.123764,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_comply=0.197; type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_refuse=0.188; type12_autonomy_vs_collective:CB-acw-S2:oppose_tip_comply=0.178
type12_autonomy_vs_collective,impartiality,0.169922,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_comply=0.243; type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_refuse=0.237; type12_autonomy_vs_collective:CB-acw-S2:oppose_tip_comply=0.226
type12_autonomy_vs_collective,authority,0.135438,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S4:oppose_tip_comply=0.254; type12_autonomy_vs_collective:CB-acw-S4:oppose_tip_refuse=0.237; type12_autonomy_vs_collective:CB-acw-S4:agree_refuse=0.209
type12_autonomy_vs_collective,care,0.173421,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_comply=0.276; type12_autonomy_vs_collective:CB-acw-S4:oppose_tip_comply=0.263; type12_autonomy_vs_collective:CB-acw-S6:oppose_tip_refuse=0.260
type12_autonomy_vs_collective,loyalty,0.166243,True,0.103195,False,type12_autonomy_vs_collective:CB-acw-S5:oppose_tip_comply=0.286; type12_autonomy_vs_collective:CB-acw-S5:oppose_tip_refuse=0.265; type12_autonomy_vs_collective:CB-acw-S4:oppose_tip_comply=0.262
