type_id,honesty,harm_avoidance,privacy,kindness,integrity,impartiality,authority,care,loyalty,fairness,autonomy,desert,mercy,collective_welfare,sanctity,tradition
type10_privacy_vs_care,0.161166,0.140358,0.208248,0.258926,0.164676,0.158594,0.131072,0.312739,0.142687,0.196736,0.131005,0.160122,0.131301,0.113575,0.066238,0.109556
type11_integrity_vs_mercy,0.099957,0.133149,0.123821,0.182398,0.229214,0.111803,0.193910,0.166514,0.072313,0.136575,0.142985,0.125573,0.240414,0.056776,0.078134,0.121384
type12_autonomy_vs_collective,0.089645,0.068250,0.085665,0.140261,0.123764,0.169922,0.135438,0.173421,0.166243,0.141106,0.103195,0.196229,0.112249,0.161434,0.017589,0.121563
type1_honesty_vs_care,0.067936,0.018719,-0.020673,0.220822,-0.044312,0.054425,-0.005418,0.042935,0.009509,0.042755,0.024703,0.101492,-0.007426,0.024580,-0.050957,-0.018324
type2_privacy_vs_care,-0.021350,-0.001362,0.050189,0.070644,-0.004581,0.000861,-0.024433,0.097971,0.026316,0.017278,-0.008796,0.020251,-0.038035,0.042643,-0.094439,-0.030080
type3_mercy_vs_desert,0.031165,0.068277,0.074793,0.054733,0.148477,0.072719,0.116738,0.123078,0.098903,0.070997,0.085688,0.079634,0.109918,0.075417,0.025113,0.075955
type4_loyalty_vs_honesty,0.073716,0.027650,0.118529,0.081054,0.036191,0.031385,0.057257,0.056430,0.020836,-0.013150,-0.016459,0.069747,-0.007440,0.053230,-0.053810,0.008597
type5_tradition_vs_autonomy,0.072558,0.054625,0.071395,0.129206,0.096771,0.149793,0.097709,0.106140,0.132921,0.104560,0.068569,0.140619,0.039423,0.112919,-0.023865,0.110435
type6_authority_vs_autonomy,0.103565,0.039488,0.070078,0.158494,0.066218,0.134339,0.077870,0.126538,0.120543,0.113438,0.055856,0.178221,0.044602,0.131999,0.007732,0.120721
type7_harm_vs_autonomy,0.004841,-0.052707,-0.038848,0.016582,-0.017204,0.000437,-0.002672,-0.005249,-0.044702,-0.017725,-0.011866,0.043734,-0.007176,0.063086,-0.060413,-0.006147
type8_harm_vs_privacy,0.041553,0.051378,0.081385,0.089234,0.065869,0.043752,0.073512,0.122158,0.036544,0.094361,0.058792,0.058012,0.021194,0.053263,0.014435,0.080300
type9_harm_vs_integrity,0.051645,-0.008717,0.013865,0.134959,0.013063,0.079818,0.052002,0.067208,0.031983,0.026555,0.055914,0.103089,0.051596,0.085883,-0.019945,0.067667
