,type10_privacy_vs_care,type11_integrity_vs_mercy,type12_autonomy_vs_collective,type1_honesty_vs_care,type2_privacy_vs_care,type3_mercy_vs_desert,type4_loyalty_vs_honesty,type5_tradition_vs_autonomy,type6_authority_vs_autonomy,type7_harm_vs_autonomy,type8_harm_vs_privacy,type9_harm_vs_integrity
type10_privacy_vs_care,0.588165,0.247027,0.289938,0.223404,0.328058,0.188462,0.244082,0.211935,0.127123,0.127065,0.259958,0.202137
type11_integrity_vs_mercy,0.247027,0.460989,0.227442,0.184336,0.165326,0.271942,0.161549,0.206880,0.144107,0.069556,0.142185,0.137884
type12_autonomy_vs_collective,0.289938,0.227442,0.443678,0.182259,0.188957,0.246657,0.176431,0.328696,0.252107,0.187752,0.221270,0.263663
type1_honesty_vs_care,0.223404,0.184336,0.182259,0.567636,0.182118,0.132587,0.245934,0.235440,0.184304,0.043685,0.091114,0.139288
type2_privacy_vs_care,0.328058,0.165326,0.188957,0.182118,0.540439,0.221111,0.320713,0.200193,0.098208,0.067302,0.187652,0.129379
type3_mercy_vs_desert,0.188462,0.271942,0.246657,0.132587,0.221111,0.431729,0.237889,0.251959,0.199946,0.104502,0.170168,0.163754
type4_loyalty_vs_honesty,0.244082,0.161549,0.176431,0.245934,0.320713,0.237889,0.482928,0.253770,0.174868,0.054568,0.161565,0.142628
type5_tradition_vs_autonomy,0.211935,0.206880,0.328696,0.235440,0.200193,0.251959,0.253770,0.469813,0.275546,0.149997,0.184160,0.255994
type6_authority_vs_autonomy,0.127123,0.144107,0.252107,0.184304,0.098208,0.199946,0.174868,0.275546,0.519831,0.193002,0.188057,0.228116
type7_harm_vs_autonomy,0.127065,0.069556,0.187752,0.043685,0.067302,0.104502,0.054568,0.149997,0.193002,0.522126,0.297716,0.395247
type8_harm_vs_privacy,0.259958,0.142185,0.221270,0.091114,0.187652,0.170168,0.161565,0.184160,0.188057,0.297716,0.446475,0.279240
type9_harm_vs_integrity,0.202137,0.137884,0.263663,0.139288,0.129379,0.163754,0.142628,0.255994,0.228116,0.395247,0.279240,0.500620
