,type10_privacy_vs_care,type11_integrity_vs_mercy,type12_autonomy_vs_collective,type1_honesty_vs_care,type2_privacy_vs_care,type3_mercy_vs_desert,type4_loyalty_vs_honesty,type5_tradition_vs_autonomy,type6_authority_vs_autonomy,type7_harm_vs_autonomy,type8_harm_vs_privacy,type9_harm_vs_integrity
type10_privacy_vs_care,0.579344,0.252030,0.304348,0.228154,0.326558,0.185759,0.264318,0.229711,0.147116,0.136520,0.262596,0.204609
type11_integrity_vs_mercy,0.252030,0.449146,0.259373,0.179036,0.176242,0.282745,0.167242,0.213465,0.167028,0.082049,0.160291,0.144869
type12_autonomy_vs_collective,0.304348,0.259373,0.482296,0.198246,0.220336,0.284389,0.215265,0.369745,0.287095,0.181045,0.225684,0.259423
type1_honesty_vs_care,0.228154,0.179036,0.198246,0.558384,0.189660,0.142039,0.262180,0.233437,0.205682,0.042118,0.098991,0.127045
type2_privacy_vs_care,0.326558,0.176242,0.220336,0.189660,0.516497,0.233544,0.328038,0.212459,0.115835,0.079573,0.203431,0.130249
type3_mercy_vs_desert,0.185759,0.282745,0.284389,0.142039,0.233544,0.424027,0.254739,0.270236,0.226971,0.116600,0.178016,0.183415
type4_loyalty_vs_honesty,0.264318,0.167242,0.215265,0.262180,0.328038,0.254739,0.481848,0.269373,0.203144,0.059900,0.184152,0.145569
type5_tradition_vs_autonomy,0.229711,0.213465,0.369745,0.233437,0.212459,0.270236,0.269373,0.452549,0.306359,0.169582,0.201365,0.264968
type6_authority_vs_autonomy,0.147116,0.167028,0.287095,0.205682,0.115835,0.226971,0.203144,0.306359,0.544342,0.196089,0.197141,0.239456
type7_harm_vs_autonomy,0.136520,0.082049,0.181045,0.042118,0.079573,0.116600,0.059900,0.169582,0.196089,0.530882,0.307788,0.411207
type8_harm_vs_privacy,0.262596,0.160291,0.225684,0.098991,0.203431,0.178016,0.184152,0.201365,0.197141,0.307788,0.451933,0.291571
type9_harm_vs_integrity,0.204609,0.144869,0.259423,0.127045,0.130249,0.183415,0.145569,0.264968,0.239456,0.411207,0.291571,0.502153
