cell_id,honesty,harm_avoidance,privacy,kindness,integrity,impartiality,authority,care,loyalty,fairness,autonomy,desert,mercy,collective_welfare,sanctity,tradition
type10_privacy_vs_care:CB-pvc-S1:agree_comply,0.047215,0.059343,0.013647,0.156368,0.237086,0.064494,0.076713,0.114539,0.120663,0.191271,0.078729,0.087854,0.187853,0.108208,-0.004349,0.114517
type10_privacy_vs_care:CB-pvc-S1:agree_refuse,0.086378,0.075764,0.050306,0.180648,0.206817,0.077591,0.080655,0.106753,0.143013,0.188397,0.118544,0.086124,0.206223,0.081912,0.004459,0.124892
type10_privacy_vs_care:CB-pvc-S1:oppose_tip_comply,0.097140,0.050527,0.041540,0.184100,0.236230,0.081368,0.099125,0.149150,0.152609,0.203585,0.121958,0.113478,0.236247,0.157052,-0.012531,0.143112
type10_privacy_vs_care:CB-pvc-S1:oppose_tip_refuse,0.093243,0.024051,0.020329,0.133578,0.233753,0.095690,0.112754,0.128950,0.130259,0.171979,0.106716,0.109061,0.184111,0.120444,-0.016412,0.122109
type10_privacy_vs_care:CB-pvc-S2:agree_comply,0.040910,0.077781,0.088056,0.152605,0.164115,0.110819,0.148735,0.189597,0.194347,0.226541,0.090384,0.195683,0.150149,0.119578,0.043852,0.088358
type10_privacy_vs_care:CB-pvc-S2:agree_refuse,0.039081,0.072546,0.097402,0.110412,0.168654,0.124604,0.168542,0.190249,0.187186,0.222148,0.091014,0.164612,0.112792,0.128712,0.019559,0.089742
type10_privacy_vs_care:CB-pvc-S2:oppose_tip_comply,0.061449,0.055359,0.108435,0.095323,0.202183,0.140283,0.181324,0.193583,0.195708,0.212148,0.097078,0.181398,0.138591,0.197067,-0.015405,0.086107
type10_privacy_vs_care:CB-pvc-S2:oppose_tip_refuse,0.112543,0.082347,0.127405,0.133006,0.205839,0.166929,0.201996,0.183609,0.170542,0.167951,0.092792,0.185363,0.124727,0.147909,0.014180,0.076159
type10_privacy_vs_care:CB-pvc-S3:agree_comply,0.113682,0.280203,0.246131,0.236685,0.136963,0.101730,0.165366,0.278339,0.215796,0.279147,0.205888,0.188069,0.254345,0.104695,0.144286,0.135841
type10_privacy_vs_care:CB-pvc-S3:agree_refuse,0.090195,0.277366,0.234104,0.214066,0.077224,0.105654,0.111158,0.286070,0.190189,0.259264,0.155230,0.168388,0.211418,0.107309,0.122064,0.140912
type10_privacy_vs_care:CB-pvc-S3:oppose_tip_comply,0.098724,0.261771,0.244135,0.226451,0.140580,0.144141,0.156783,0.298567,0.198746,0.259970,0.166627,0.183717,0.238859,0.136356,0.103667,0.149459
type10_privacy_vs_care:CB-pvc-S3:oppose_tip_refuse,0.121808,0.284748,0.272870,0.234387,0.168939,0.150468,0.193181,0.290008,0.191062,0.278353,0.173785,0.196216,0.243339,0.130095,0.122429,0.142990
type10_privacy_vs_care:CB-pvc-S4:agree_comply,0.089065,0.181954,0.131192,0.180639,0.175981,0.211187,0.127686,0.199018,0.181884,0.303211,0.113041,0.134024,0.234140,0.110389,0.122342,0.154668
type10_privacy_vs_care:CB-pvc-S4:agree_refuse,0.103512,0.172803,0.150292,0.183028,0.181306,0.220188,0.132441,0.205728,0.202267,0.297895,0.134456,0.153888,0.306980,0.119238,0.121266,0.140566
type10_privacy_vs_care:CB-pvc-S4:oppose_tip_comply,0.084889,0.065821,0.116926,0.200549,0.173537,0.204657,0.143179,0.181756,0.124157,0.243366,0.049941,0.138011,0.280337,0.099097,0.032633,0.112195
type10_privacy_vs_care:CB-pvc-S4:oppose_tip_refuse,0.116115,0.110527,0.159267,0.212592,0.215336,0.236674,0.184184,0.209146,0.151462,0.291325,0.098258,0.136694,0.290674,0.178927,0.053596,0.121744
type10_privacy_vs_care:CB-pvc-S5:agree_comply,0.136959,0.141840,0.119036,0.175184,0.234199,0.172318,0.141511,0.120348,0.165652,0.159371,0.158770,0.151994,0.188225,0.121552,0.144004,0.144289
type10_privacy_vs_care:CB-pvc-S5:agree_refuse,0.158886,0.110300,0.163394,0.128640,0.248455,0.158798,0.141583,0.109093,0.196160,0.155296,0.168507,0.178115,0.206313,0.154313,0.116523,0.144235
type10_privacy_vs_care:CB-pvc-S5:oppose_tip_comply,0.146395,0.091165,0.135023,0.132379,0.237679,0.142489,0.154001,0.110397,0.156279,0.113207,0.127033,0.182333,0.172344,0.136358,0.076060,0.102440
type10_privacy_vs_care:CB-pvc-S5:oppose_tip_refuse,0.140242,0.092630,0.132863,0.122968,0.253100,0.172585,0.161671,0.112436,0.168307,0.152599,0.164360,0.173493,0.196336,0.159921,0.109216,0.125281
type10_privacy_vs_care:CB-pvc-S6:agree_comply,0.045550,0.123940,0.119724,0.195837,0.112732,0.057151,0.200713,0.191447,0.210039,0.180133,0.160645,0.161660,0.096930,0.144467,0.096245,0.221866
type10_privacy_vs_care:CB-pvc-S6:agree_refuse,0.046560,0.132790,0.180481,0.150327,0.128896,0.061144,0.207873,0.184815,0.175856,0.165369,0.139931,0.102832,0.082523,0.101124,0.067901,0.194206
type10_privacy_vs_care:CB-pvc-S6:oppose_tip_comply,0.045132,0.112409,0.155831,0.178711,0.139293,0.067582,0.192596,0.209427,0.175524,0.174280,0.146775,0.115672,0.106520,0.109311,0.067633,0.201380
type10_privacy_vs_care:CB-pvc-S6:oppose_tip_refuse,0.045085,0.137872,0.159808,0.179730,0.128331,0.078094,0.187601,0.222228,0.187896,0.173788,0.140018,0.111974,0.096399,0.110993,0.079380,0.194956
type11_integrity_vs_mercy:CB-imv-S1:agree_comply,0.003460,0.008072,0.067536,0.114455,0.211069,-0.008943,0.088886,0.042856,0.005801,0.069161,0.100590,0.041648,0.079706,0.028236,-0.028736,0.072422
