type_id,value,mean_cosine,z_within_value,is_own_pole,flagged
type11_integrity_vs_mercy,integrity,0.261514,2.357,True,False
type12_autonomy_vs_collective,loyalty,0.226302,2.273,False,True
type11_integrity_vs_mercy,mercy,0.247804,2.162,True,False
type1_honesty_vs_care,honesty,0.160661,2.130,True,False
type10_privacy_vs_care,fairness,0.211275,2.016,False,True
type10_privacy_vs_care,privacy,0.136175,1.851,True,False
type10_privacy_vs_care,impartiality,0.131110,1.840,False,False
type1_honesty_vs_care,kindness,0.188286,1.808,False,False
type10_privacy_vs_care,harm_avoidance,0.128161,1.783,False,False
type5_tradition_vs_autonomy,tradition,0.202854,1.646,True,False
type10_privacy_vs_care,authority,0.152974,1.618,False,False
type11_integrity_vs_mercy,authority,0.149990,1.552,False,False
type12_autonomy_vs_collective,impartiality,0.120663,1.541,False,False
type12_autonomy_vs_collective,collective_welfare,0.157977,1.470,True,False
type10_privacy_vs_care,desert,0.150027,1.442,False,False
type12_autonomy_vs_collective,sanctity,0.084141,1.432,False,False
type10_privacy_vs_care,kindness,0.170759,1.428,False,False
type4_loyalty_vs_honesty,honesty,0.128214,1.414,True,False
type10_privacy_vs_care,care,0.186052,1.379,True,False
type12_autonomy_vs_collective,desert,0.147021,1.372,False,False
type12_autonomy_vs_collective,care,0.184706,1.352,False,False
type5_tradition_vs_autonomy,autonomy,0.168596,1.339,True,False
type12_autonomy_vs_collective,fairness,0.168277,1.336,False,False
type10_privacy_vs_care,mercy,0.189432,1.289,False,False
type10_privacy_vs_care,integrity,0.183634,1.287,False,False
type11_integrity_vs_mercy,autonomy,0.165900,1.285,False,False
type10_privacy_vs_care,loyalty,0.174400,1.276,False,False
type4_loyalty_vs_honesty,privacy,0.113912,1.234,False,False
type8_harm_vs_privacy,harm_avoidance,0.108464,1.200,True,False
type11_integrity_vs_mercy,fairness,0.153933,1.109,False,False
type12_autonomy_vs_collective,autonomy,0.156565,1.097,True,False
type6_authority_vs_autonomy,care,0.171969,1.096,False,False
type6_authority_vs_autonomy,desert,0.133075,1.047,False,False
type10_privacy_vs_care,sanctity,0.067192,0.988,False,False
type11_integrity_vs_mercy,tradition,0.168524,0.988,False,False
type8_harm_vs_privacy,sanctity,0.066691,0.975,False,False
type12_autonomy_vs_collective,harm_avoidance,0.098732,0.912,False,False
type6_authority_vs_autonomy,collective_welfare,0.130704,0.896,False,False
type10_privacy_vs_care,collective_welfare,0.128543,0.850,False,False
type5_tradition_vs_autonomy,loyalty,0.152088,0.847,False,False
type11_integrity_vs_mercy,privacy,0.099930,0.847,False,False
type8_harm_vs_privacy,privacy,0.098846,0.817,True,False
type6_authority_vs_autonomy,tradition,0.159290,0.810,False,False
type5_tradition_vs_autonomy,sanctity,0.060031,0.800,False,False
type11_integrity_vs_mercy,collective_welfare,0.122779,0.729,False,False
type12_autonomy_vs_collective,tradition,0.153764,0.704,False,False
type3_mercy_vs_desert,autonomy,0.136950,0.703,False,False
type5_tradition_vs_autonomy,impartiality,0.089455,0.648,False,False
type11_integrity_vs_mercy,kindness,0.133294,0.616,False,False
type9_harm_vs_integrity,sanctity,0.052079,0.592,False,False
type10_privacy_vs_care,honesty,0.090031,0.571,False,False
type11_integrity_vs_mercy,harm_avoidance,0.086974,0.564,False,False
