type_id,honesty,harm_avoidance,privacy,kindness,integrity,impartiality,authority,care,loyalty,fairness,autonomy,desert,mercy,collective_welfare,sanctity,tradition
type10_privacy_vs_care,0.090031,0.128161,0.136175,0.170759,0.183634,0.131110,0.152974,0.186052,0.174400,0.211275,0.129187,0.150027,0.189432,0.128543,0.067192,0.136334
type11_integrity_vs_mercy,0.070594,0.086974,0.099930,0.133294,0.261514,0.052040,0.149990,0.098290,0.090139,0.153933,0.165900,0.100644,0.247804,0.122779,0.042422,0.168524
type12_autonomy_vs_collective,0.060635,0.098732,0.062668,0.112408,0.103435,0.120663,0.101660,0.184706,0.226302,0.168277,0.156565,0.147021,0.115202,0.157977,0.084141,0.153764
type1_honesty_vs_care,0.160661,0.078708,0.036368,0.188286,-0.003201,0.071893,0.033605,0.063027,0.102995,0.036618,0.092760,0.105211,0.125916,0.041314,0.001148,0.040595
type2_privacy_vs_care,0.019128,0.057317,0.014107,0.069998,0.012846,0.012282,0.014631,0.068137,0.084714,0.091072,0.076189,0.021415,0.078300,0.009930,-0.039068,0.039860
type3_mercy_vs_desert,0.001059,0.045186,0.046218,0.027777,0.069356,0.028373,0.073920,0.104282,0.111517,0.059780,0.136950,0.020782,0.137577,0.036419,0.019535,0.108676
type4_loyalty_vs_honesty,0.128214,0.062650,0.113912,0.088847,0.084556,0.037419,0.077909,0.031218,0.077921,0.031575,0.070881,0.063490,0.095236,0.034809,-0.012525,0.079763
type5_tradition_vs_autonomy,0.061878,0.060146,0.075343,0.102371,0.110350,0.089455,0.105078,0.107863,0.152088,0.065479,0.168596,0.073915,0.083130,0.072565,0.060031,0.202854
type6_authority_vs_autonomy,0.062761,0.016665,0.041126,0.119309,0.053975,0.071750,0.091554,0.171969,0.086069,0.035386,0.100632,0.133075,0.026681,0.130704,-0.002850,0.159290
type7_harm_vs_autonomy,0.024322,0.020667,0.049619,0.052309,0.039017,0.050131,0.019196,0.107845,0.057876,0.006874,0.013594,0.072658,0.006906,0.107704,0.014915,0.066273
type8_harm_vs_privacy,0.037428,0.108464,0.098846,0.077978,0.095479,0.064140,0.086180,0.145277,0.042403,0.097763,0.061059,0.069600,0.060703,0.100312,0.066691,0.138652
type9_harm_vs_integrity,0.053188,0.051331,0.058300,0.115526,0.069405,0.072187,0.056708,0.142040,0.089363,0.047863,0.051667,0.099694,0.072779,0.114756,0.052079,0.110143
