,type10_privacy_vs_care,type11_integrity_vs_mercy,type12_autonomy_vs_collective,type1_honesty_vs_care,type2_privacy_vs_care,type3_mercy_vs_desert,type4_loyalty_vs_honesty,type5_tradition_vs_autonomy,type6_authority_vs_autonomy,type7_harm_vs_autonomy,type8_harm_vs_privacy,type9_harm_vs_integrity
type10_privacy_vs_care,0.497012,0.227123,0.289964,0.197861,0.297133,0.203571,0.223841,0.251224,0.168638,0.152649,0.238557,0.226095
type11_integrity_vs_mercy,0.227123,0.402648,0.187198,0.178085,0.144507,0.229233,0.168518,0.197298,0.153313,0.084209,0.136134,0.155247
type12_autonomy_vs_collective,0.289964,0.187198,0.359036,0.161881,0.214380,0.223749,0.186941,0.266854,0.242322,0.187465,0.211332,0.248011
type1_honesty_vs_care,0.197861,0.178085,0.161881,0.504407,0.213892,0.173414,0.262297,0.208207,0.225110,0.063586,0.080683,0.153749
type2_privacy_vs_care,0.297133,0.144507,0.214380,0.213892,0.445560,0.213482,0.265066,0.223603,0.154413,0.122146,0.200241,0.173617
type3_mercy_vs_desert,0.203571,0.229233,0.223749,0.173414,0.213482,0.399882,0.229439,0.253830,0.217384,0.130354,0.183475,0.190790
type4_loyalty_vs_honesty,0.223841,0.168518,0.186941,0.262297,0.265066,0.229439,0.398758,0.254799,0.199535,0.102324,0.155431,0.192049
type5_tradition_vs_autonomy,0.251224,0.197298,0.266854,0.208207,0.223603,0.253830,0.254799,0.410817,0.285618,0.197239,0.207006,0.272327
type6_authority_vs_autonomy,0.168638,0.153313,0.242322,0.225110,0.154413,0.217384,0.199535,0.285618,0.491665,0.224879,0.205441,0.268016
type7_harm_vs_autonomy,0.152649,0.084209,0.187465,0.063586,0.122146,0.130354,0.102324,0.197239,0.224879,0.473365,0.321718,0.400418
type8_harm_vs_privacy,0.238557,0.136134,0.211332,0.080683,0.200241,0.183475,0.155431,0.207006,0.205441,0.321718,0.415331,0.316850
type9_harm_vs_integrity,0.226095,0.155247,0.248011,0.153749,0.173617,0.190790,0.192049,0.272327,0.268016,0.400418,0.316850,0.473753
