,type10_privacy_vs_care,type11_integrity_vs_mercy,type12_autonomy_vs_collective,type1_honesty_vs_care,type2_privacy_vs_care,type3_mercy_vs_desert,type4_loyalty_vs_honesty,type5_tradition_vs_autonomy,type6_authority_vs_autonomy,type7_harm_vs_autonomy,type8_harm_vs_privacy,type9_harm_vs_integrity
type10_privacy_vs_care,0.500205,0.248150,0.323508,0.207034,0.320152,0.225482,0.248417,0.269724,0.202979,0.169901,0.256024,0.250478
type11_integrity_vs_mercy,0.248150,0.396629,0.227609,0.167967,0.152317,0.245225,0.181036,0.197976,0.171468,0.112217,0.159955,0.180434
type12_autonomy_vs_collective,0.323508,0.227609,0.393184,0.186002,0.235541,0.261939,0.224506,0.294037,0.280392,0.197785,0.230108,0.270974
type1_honesty_vs_care,0.207034,0.167967,0.186002,0.495372,0.211361,0.182887,0.266404,0.212803,0.247376,0.072846,0.088127,0.157922
type2_privacy_vs_care,0.320152,0.152317,0.235541,0.211361,0.421525,0.232154,0.249405,0.227282,0.165263,0.132069,0.210412,0.179788
type3_mercy_vs_desert,0.225482,0.245225,0.261939,0.182887,0.232154,0.401773,0.245990,0.263307,0.234984,0.156359,0.200080,0.218637
type4_loyalty_vs_honesty,0.248417,0.181036,0.224506,0.266404,0.249405,0.245990,0.376751,0.262829,0.217596,0.129942,0.176284,0.216625
type5_tradition_vs_autonomy,0.269724,0.197976,0.294037,0.212803,0.227282,0.263307,0.262829,0.382270,0.301406,0.218015,0.228429,0.291573
type6_authority_vs_autonomy,0.202979,0.171468,0.280392,0.247376,0.165263,0.234984,0.217596,0.301406,0.483263,0.230381,0.229067,0.289349
type7_harm_vs_autonomy,0.169901,0.112217,0.197785,0.072846,0.132069,0.156359,0.129942,0.218015,0.230381,0.488527,0.363690,0.443278
type8_harm_vs_privacy,0.256024,0.159955,0.230108,0.088127,0.210412,0.200080,0.176284,0.228429,0.229067,0.363690,0.434024,0.365168
type9_harm_vs_integrity,0.250478,0.180434,0.270974,0.157922,0.179788,0.218637,0.216625,0.291573,0.289349,0.443278,0.365168,0.510120
